user_id,target_sequence_id,Prior.Problem.Count,Prior.Correct.Count,Prior.Percent.Correct,Class.ID,Class.Section.ID,Class.Grade,Teacher.ID,Guessed.Gender,Birthyear,Location.ID,Role.Type,Location.Type,School.ID,District.ID,State.ID,Prior.Assignments.Assigned,Prior.Assignment.Count,Prior.Completion.Count,Prior.Percent.Completion,Prior.Class.Percent.Completion,Z.Scored.Mastery.Speed,Prior.Homework.Assigned,Prior.Homework.Count,Prior.Homework.Completion.Count,Prior.Homework.Percent.Completion,Prior.Class.Homework.Percent.Completion,Z.Scored.HW.Mastery.Speed,Number.All.Problems.in.Posttest,Number.Complete.Problems.in.Posttest,Number.Correct.Problems.in.Posttest,Assigment.Completed,Condition,actual_experiment,target_assignment_id,target_assignment_complete,pcomplete3,pcomplete2,pcomplete1,actual,complete,condition,p_complete
152644,694197,563,322,0.5719360568383659,46572,92890,"""Junior""",55469,"""Female""","""1999""",5260,"""Student""","""School""",5260,10525,22,20,14,12,0.8571428571428571,0.804733727810651,0.055316053,NA,NA,NA,NA,NA,NA,2,2,1,1,treatment,1,1838196,1,0.71,0.77,0.7013109,1,1,1,0.993796422971858
153598,694197,482,290,0.6016597510373444,43546,85346,"""N/A""",418176,"""Male""","""1998""",5260,"""Student""","""School""",5260,10525,22,107,32,21,0.65625,0.824817518248175,-0.125,NA,NA,NA,NA,NA,NA,2,2,0,1,treatment,1,1748323,1,0.66,0.58,0.43790552,1,1,1,0.886949895592875
153601,694197,747,631,0.8447121820615795,43546,85346,"""N/A""",418176,"""Male""","""1999""",5260,"""Student""","""School""",5260,10525,22,107,105,92,0.8761904761904763,0.824817518248175,0.03809524,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,treatment,0,1748323,0,0.66,0.71,0.56081116,0,0,1,0.9842755773708473
168932,694202,2305,1541,0.6685466377440346,43360,84886,"""N/A""",251757,"""Female""","""1997""",6443,"""Student""","""School""",6443,11276,31,17,16,16,1,1,0.074017212,NA,NA,NA,NA,NA,NA,2,2,2,1,control,1,1736921,1,1,0.92,0.94424677,1,1,0,0.9998100263632635
169066,694165,3512,2273,0.6472095671981777,43367,85011,"""N/A""",94360,"""Uknown""","""2000""",6443,"""Student""","""School""",6443,11276,31,23,17,17,1,0.9857819905213268,-0.30478591,NA,NA,NA,NA,NA,NA,2,2,1,1,treatment,1,1741291,1,0.91,0.96,0.93517923,1,1,1,0.9998657794164485
220094,694202,3262,2205,0.6759656652360515,43367,85012,"""N/A""",94360,"""Female""","""2013""",6443,"""Student""","""School""",6443,11276,31,27,21,21,1,0.994550408719346,0.20596932,NA,NA,NA,NA,NA,NA,2,2,2,1,control,1,1769093,1,0.99,0.98,0.9354651,1,1,0,0.9999376900209187
220293,694165,2998,2360,0.7871914609739826,43367,85012,"""N/A""",94360,"""Female""","""2000""",6443,"""Student""","""School""",6443,11276,31,23,18,18,1,0.9966777408637872,-0.31278461,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,control,0,1741291,0,0.97,0.98,0.9483572,0,0,0,0.9999284865949222
220472,694202,3156,1917,0.6074144486692015,43367,85012,"""N/A""",94360,"""Male""","""2000""",6443,"""Student""","""School""",6443,11276,31,27,22,22,1,0.994550408719346,0.27303284,NA,NA,NA,NA,NA,NA,2,2,1,1,control,1,1769093,1,0.97,0.91,0.70872784,1,1,0,0.999872896429462
221241,694202,2775,2243,0.8082882882882882,45807,91070,"""9""",94661,"""Female""","""2001""",6443,"""Student""","""School""",6443,11276,31,38,23,23,1,0.9421221864951768,-0.068574384,5,4,4,1,0.972972972972973,-0.054586902,2,2,1,1,control,1,1753246,1,0.95,0.9,0.95418954,1,1,0,0.9996349407785043
221421,694202,2954,1933,0.6543669600541638,45807,91070,"""9""",94661,"""Male""","""2001""",6443,"""Student""","""School""",6443,11276,31,38,11,11,1,0.9421221864951768,-0.37071356,5,2,2,1,0.972972972972973,-0.5667541,2,2,2,1,control,1,1753246,1,0.92,0.97,0.9652593,1,1,0,0.9998837632317455
